TID,EN,FR,DE,ES,IT,NL,NO,PT,TR
TID_FAQ_TEXT_BUYING,"Make sure that your device is set to allow in-app purchases. Go to Settings - General - Restrictions and check that In-App Purchases is set to ON. Then quit and restart the game: push the Home *(square) button on your device twice; tap and hold the Clash of Clans icon until it starts wobbling; tap on the upper-right red icon, push Home again, relaunch Clash of Clans and you should be able to buy gems.","Assurez-vous que votre appareil soit réglé pour permettre les transactions au sein des applications. Allez dans Paramètres - Général - Restrictions pour vérifier que cette option est bien activée. Ensuite, quittez puis relancez le jeu : appuyez deux fois sur la touche Home *(carré) de votre appareil ; maintenez appuyée l´icône Clash of Clans jusqu´à ce qu´elle commence à osciller ; touchez l´icône rouge dans le coin supérieur droit, appuyez de nouveau sur Home et relancez Clash of Clans. Vous devriez maintenant pouvoir acheter des gemmes.","Vergewissere dich, dass dein Gerät für In-App-Käufe eingestellt ist. Gehe zu den Einstellungen - Allgemein - Einschränkungen und überprüfe, dass In-App-Käufe auf EIN gestellt sind. Beende dann und starte das Spiel neu: Drücke zwei Mal auf die Home-Taste *(Viereck) deines Geräts. Tippe das Symbol von Clash of Clans an und halte es gedrückt, bis es zu wackeln beginnt. Tippe auf das rote Symbol oben rechts und drücke erneut auf Home. Starte Clash of Clans neu und du solltest Juwelen kaufen können.","Asegúrate de que tu dispositivo está configurado para permitir adquisiciones desde la aplicación. Dirígete a Ajustes - General - Restricciones y comprueba que la opción Adquisiciones en la aplicación está activada. Después, sal y reinicia el juego: pulsa dos veces el botón Inicio *(cuadrado) de tu dispositivo; toca sin levantar el dedo el icono de Clash of Clans hasta que empiece a temblar; toca el icono rojo de la parte superior derecha, vuelve a pulsar Inicio, reinicia Clash of Clans y ya deberías poder comprar gemas.","Assicurati che il tuo apparecchio sia impostato per permettere gli acquisti In-App. Vai su Impostazioni > Generale > Restrizioni e controlla che gli acquisti In-App siano attivitati. Quindi esci e ricomincia il gioco: premi due volte il tasto Home *(quadrato) del tuo apparecchio; tocca e tieni premuta l'icona di Clash of the Clans finché non inizia a vibrare; tocca l'icona rossa in alto a destra; premi nuovamente Home, riavvia Clash of the Clans. Ora dovresti essere in grado di acquistare gemme.","Zorg dat je apparaat is ingesteld voor in-app aankopen. Ga naar Instellingen - Algemeen - Beperkingen en zorg dat in-app aankopen op AAN staat. Sluit dan het spel af en start het spel opnieuw op: druk twee keer op de Home *(vierkant) toets van je apparaat; tik en houd vast op het Clash of Clans-icoontje tot het begint te wiebelen; tik op het rode icoontje rechts bovenin, druk nogmaals op Home, lanceer Clash of Clans en je zou de edelstenen moeten kunnen kopen.","Sørg for at enheten din er stilt inn for å tillate kjøp i app. Gå til innstillinger - generelt - begrensninger, og sjekk at kjøp i app (In-App Purchases) er slått PÅ. Deretter avbryt og start spillet på nytt: Trykk på Hjem *(firkant)-knappen på enheten to ganger, trykk og hold Clash of Clans-ikonet til det begynner å vibrere, trykk på ikonet øverst til høyre, trykk på Hjem-knappen igjen, start Clash of Clans på nytt - så skal du kunne kjøpe smykker.","Verifique se o dispositivo está configurado para permitir compras em aplicativos. Vá para Configurações - Geral - Restrições e verifique se a opção Compras em aplicativos está definida como ON. Em seguida, saia e reinicie o jogo: pressione o botão Início* (quadrado) em seu aparelho duas vezes, toque e segure o ícone de Clash of Clans até que ele comece a vibrar, toque no ícone superior direito vermelho, pressione Início novamente, reinicie Clash of Clans e você poderá comprar pedras preciosas.","Cihazının uygulama içi satın alımlara izin verdiğinden emin ol. Ayarlar - Genel - Kısıtlamalar'a git ve Uygulama İçi Satın Alımların Açık konumda olup olmadığını kontrol et. Bunun ardından buradan çık ve oyunu yeniden başlat: cihazının Ana Sayfa *(kare) düğmesine iki kere bas; Clash of Clans simgesi titremeye başlayana kadar basılı tut; sağ üst köşedeki kırmızı simgeye bas, yeniden Ana Sayfa'ya bas ve Clash of Clans'ı yeniden başlat. Artık taş alabileceksin."
TID_FAQ_TITLE_LOSTGEMS,I have just purchased gems but they never came through. What can I do?,"J'ai acheté des gemmes, mais je ne les ai jamais reçues. Que dois-je faire ?","Ich habe gerade Juwelen gekauft, aber sie wurden mir nicht gutgeschrieben. Was kann ich tun?","Acabo de adquirir gemas, pero no me han sido entregadas. ¿Qué puedo hacer?",Ho appena acquistato delle gemme ma non le ho ancora ricevute. Che posso fare?,"Ik heb net edelstenen gekocht, maar ik zie ze niet. Wat moet ik doen?","Jeg har nettopp kjøpt smykker, men de ble ikke levert. Hva gjør jeg?","Eu acabei de comprar joias, mas elas não apareceram no jogo. O que posso fazer?",Az önce taş satın aldım ama gelmedi. Ne yapmalıyım?
TID_FAQ_TEXT_LOSTGEMS,"While most of the transactions go smoothly, sometimes an answer from Apple or our servers might be slower than usual or might result in errors. Please wait some time and see if they will arrive.\n\nEven if after waiting your gems are still not given to you, try to purchase exactly the same category a second time (do not worry, no extra money are deducted) - you should see a message similar to \qthis has been already purchased, tap to receive\q. If this happens just quit and restart the game, your gems should be credited to you.\n\nIf this doesn't help, please contact our customer support at clashofclans.feedback@supercell.net and our guys will help you as soon as possible.",,,,,,,,
TID_FAQ_TITLE_CLANSCORE,Why is my clan's score smaller than all members' combined scores?,Pourquoi le score de mon clan est-il inférieur à la somme des scores des membres ?,Wieso ist die Punktzahl meines Clans kleiner als die Punktzahl aller Mitglieder zusammen?,¿Por qué la puntuación de mi clan es menor que las puntuaciones combinadas de todos los miembros?,Perché il punteggio del mio clan è inferiore alla combinazione dei punteggi di tutti i membri?,Waarom is de score van mijn clan lager dan de gecombineerde score van alle leden?,Hvorfor er klanens poengsum lavere enn alle medlemmenes poengsummer sammenlagt?,Por que minha pontuação de clã é menor que as pontuações de todos os membros combinados?,Klan puanım neden tüm üyelerin puanının toplamından daha düşük?
TID_FAQ_TEXT_CLANSCORE,Clan Score is calculated using a formula that uses weighted scores from all clan members. It is not the sum of all members' scores. The Clan Score is designed allow a more competitive and fair clan ranking.,Le calcul du score de clan utilise les scores pondérés de l´ensemble des membres du clan. Le score de clan n´est donc pas la simple somme des scores de ses membres ; il permet ainsi un classement des clans plus compétitif et plus juste.,Die Clan-Punkte ergeben sich mittels einer Formel aus gewichteten Punkten aller Clanmitglieder. Es ist nicht die Summe der Punkte aller Mitglieder. Die Clan-Punkte sollen für mehr Wettbewerb und Fairness in der Clanrangliste sorgen.,La puntuación del clan se calcula con una fórmula que usa puntuaciones ponderadas de todos los miembros del clan. No se trata de la suma de las puntuaciones de todos los miembros. La puntuación del clan está pensada para permitir una clasificación de clanes más competitiva y justa.,"Il punteggio di un clan è calcolato attraverso una formula che usa i punteggi ponderati, e non la somma, di tutti i membri del clan. Il punteggio del clan è pensato per generare una classifica più competitiva ed equa.","De clanscore is gebaseerd op de gemiddelde score van alle clanleden, maar is niet de som van alle scores. De clanscore is ontwikkeld voor een competitief en eerlijk rangsysteem.",Klanens poengsum beregnes med en formel som tar hensyn til vektede poengsummer fra alle klanmedlemmene. Den er ikke summen av alle medlemmenes poengsummer. Klanens poengsum er laget for å rangere klanenes konkurransedyktighet så rettferdig som mulig.,A pontuação do clã é calculada usando uma fórmula que usa pontuações ponderadas de todos os membros do clã. Não é a soma das pontuações de todos os membros. A pontuação do clã é projetada para possibilitar uma classificação de clã mais competitiva e justa.,"Klan Puanı, tüm klan üyelerinin ağırlıklı puanlarını kullanan bir formülün kullanımıyla hesaplanır. Bu puan, tüm üyelerin puanlarının toplamı değildir. Klan Puanı, daha rekabetçi ve adil bir klan sıralaması oluşturmaya izin verecek şekilde tasarlanmıştır."
TID_FAQ_TITLE_REPLAY,Is there a way to see a replay of an attack on my village?,Existe-t-il un moyen de revoir une attaque ayant touché mon village ?,Kann ich mir eine Wiederholung von Angriffen auf mein Dorf ansehen?,¿Hay alguna forma de ver la repetición de un ataque a mi aldea?,È possibile vedere un replay di un attacco al mio villaggio?,Is er een manier om de aanval op mijn dorp opnieuw af te spelen?,Er det mulig å se angrepet på landsbyen min i reprise?,Existe uma maneira de ver a repetição de um ataque à minha aldeia?,Köyüme yapılan bir saldırının tekrarını izlemenin bir yolu var mı?
TID_FAQ_TEXT_REPLAY,You can watch Replays from the Battle Log menu (the letter icon above attack button). It's a good idea to watch these as soon as possible as the system only stores the a few them and will remove the older ones if needed.,"Vous pouvez visionner les Ralentis depuis le menu Résumé des batailles (l´icône de lettre au-dessus du bouton d´attaque). Il est judicieux de les regarder dès que possible, puisque le système n´en conserve que quelques-uns et supprimera les plus anciens, si nécessaire.","Du kannst dir Wiederholungen im Menü Kampfhistorie ansehen (das Buchstabensymbol über der Angriffsschaltfläche). Es ist besser, sie sich so schnell wie möglich anzusehen, da das System nur ein paar von ihnen speichert und ältere entfernt, sobald es erforderlich ist.","Puedes ver repeticiones desde el menú Combates (el icono en forma de carta que hay sobre el botón de ataque). Lo mejor es verlas lo antes posible, ya que el sistema solo almacena unas pocas y eliminará las más antiguas, si es necesario.","Puoi guardare i replay dal menu Resoconto delle battaglie (l'icona a forma di lettera sopra il pulsante attacco). È sempre meglio guardarli subito perché il sistema ne conserva solo alcuni e, se necessario, elimina i più vecchi.","Je kunt Herhalingen via het Logboekmenu bekijken (met het lettericoontje boven de aanvalsknop). Het is slim om ze zo snel mogelijk te bekijken, want het systeem slaat er slechts een paar op. De oudere Herhalingen zullen verwijderd worden als dat nodig is.","Du kan se repriser fra menyen for kamplogg (bokstavikonet over angrepsknappen). Det er en god ide å se på disse så snart som mulig, da systemet kun lagrer noen få av dem og vil fjerne de som er eldre ved behov.","Você sempre pode assistir às Repetições no menu Registro de Batalhas (o ícone da letra acima do botão de atacar). É uma boa ideia assistí-las assim que possível pois o sistema só guarda algumas e remove as mais antigas, se necessário.","Savaş Günlüğü menüsünden Tekrarları izleyebilirsiniz (saldırı butonunun üzerindeki harf ikonu). Sistem sadece birkaçını sakladığından ve eski olanları gerektikçe sildiğinden, bunları mümkün olduğu kadar çabuk izlemek iyi fikir."
TID_FAQ_TITLE_MULTIACCOUNT,Can I play multiple accounts on a single device?,Est-il possible de jouer avec différents comptes sur un seul appareil ?,Kann ich auf einem Einzelgerät mit mehreren Konten spielen?,¿Puedo jugar con varias cuentas en un mismo dispositivo?,Posso giocare con più account su un unico apparecchio?,Kan ik met meerdere accounts op één apparaat spelen?,Kan jeg spille med flere kontoer på samme enhet?,Posso jogar com várias contas em um único dispositivo?,Tek bir cihazda birden fazla hesapla oynayabilir miyim?
TID_FAQ_TEXT_MULTIACCOUNT,Clash of Clans supports only one account per device.,Clash of Clans ne prend en charge qu'un seul compte par appareil.,Clash of Clans unterstützt nur ein Konto pro Gerät.,Clash of Clans solo admite una cuenta por dispositivo.,Clash of Clans supporta solo un account per apparecchio.,Clash of Clans ondersteunt maar één account per apparaat.,Clash of Clans støtter kun én konto per enhet.,Clash of Clans suporta apenas uma conta por dispositivo.,"Clash of Clans, cihaz başına yalnızca bir hesabı desteklemektedir."
TID_FAQ_TITLE_MULTIDEVICE,Can I connect multiple devices to the same account?,Est-il possible de lier différents appareils à un seul et même compte ?,Kann ich mehrere Geräte mit dem gleichen Konto verbinden?,¿Puedo vincular varios dispositivos a la misma cuenta?,Posso connettere più apparecchi allo stesso account?,Kan ik meerdere apparaten aan één account koppelen?,Kan jeg koble til flere enheter på samme konto?,Posso conectar vários dispositivos à mesma conta?,Aynı hesaba birden fazla cihazla bağlanabilir miyim?
TID_FAQ_TEXT_MULTIDEVICE,"You can play one game on multiple devices, but be sure to login to Game Center with the same account on each device. Logging into Game Center links your village to that Game Center account, and allows you to load your game on any device.","Vous pouvez jouer une même partie sur plusieurs appareils, mais vous devez vous assurer de bien vous connecter au Game Center avec le même compte à chaque fois. La connexion au Game Center lie votre village au compte Game Center en question, et vous permet de charger votre partie sur n´importe quel appareil.","Ein Spiel kann auf mehreren Geräten gespielt werden, aber dazu muss man sich auf jedem Gerät mit dem gleichen Konto bei Game Center anmelden. Durch Anmeldung bei einem Konto bei Game Center wird dein Dorf an dieses Konto gebunden, wodurch du das Spiel auf jedem Gerät spielen kannst.","Puedes jugar a una partida en varios dispositivos, pero asegúrate de iniciar sesión en el Game Center con la misma cuenta en cada dispositivo. Iniciar sesión en el Game Center vincula tu aldea a esa cuenta del Game Center y te permite cargar tu partida en cualquier dispositivo.","Puoi giocare un gioco su più apparecchi, ma assicurati di accedere a Game Center con lo stesso account su ognuno di essi. L'accesso al Game Center collega il tuo villaggio a quell'account su Game Center e ti permette di caricare il tuo gioco su ogni apparecchio.","Je kunt het spel op meerdere apparaten spelen, maar zorg wel dat je op elk apparaat met hetzelfde account bent aangemeld op Game Center. Door je op Game Center aan te melden, wordt je dorp gekoppeld aan dat Game Center-account en kun je het spel op elk apparaat laden.","Du kan spille ett spill på flere enheter, bare du sørger for å logge på Game Center med den samme kontoen fra hver enhet. Når du logger på Game Center, kobles landsbyen din til Game Center-kontoen, slik at du kan laste spillet på alle enheter.","Você pode jogar um jogo em vários dispositivos, mas não se esqueça de entrar no Game Center com a mesma conta em cada dispositivo. Ao conectar-se ao Game Center você será dirigido à aldeia registrada na sua conta do Game Center, permitindo que você carregue o seu jogo em qualquer dispositivo.","Bir oyunu birden fazla cihazda oynayabilirsin ama her cihazda Game Center'a aynı hesapla giriş yaptığından emin ol. Game Center'a giriş yapmak, köyünü o Game Center hesabına bağlar ve oyununu istediğin cihazda yükleyebilmeni mümkün kılar."
TID_FAQ_TITLE_TEXTSIZE,Can I increase the text size?,Est-il possible d'augmenter la taille du texte ?,Kann ich die Textgröße erhöhen?,¿Puedo aumentar el tamaño del texto?,Posso ingrandire le dimensioni del testo?,Kan ik de tekst groter maken?,Kan jeg gjøre teksten større?,Posso aumentar o tamanho do texto?,Yazı boyutunu artırabilir miyim?
TID_FAQ_TEXT_TEXTSIZE,"To enjoy sharp text and beautiful graphics, we recommend playing Clash of Clans on an iPhone 4/4S, iPod Touch 4th generation or any iPad.\n\nThe game also works on older devices, but the gaming experience might not be optimal.","Pour profiter d´un texte net et de graphismes de haute qualité, nous vous conseillons de jouer Clash of Clans sur iPhone 4/4S, iPod Touch 4e génération ou n´importe quel iPad.\n\nLe jeu fonctionne également sur les appareils plus anciens, mais l´expérience de jeu ne sera peut-être pas optimale.","Um scharfen Text und schöne Grafik genießen zu können, empfehlen wir Clash of Clans auf einem iPhone 4/4S, iPod Touch der 4. Generation oder iPad zu spielen.\n\nDas Spiel funktioniert auch auf älteren Geräten, aber das Spielerlebnis könnte nicht optimal sein.","Para disfrutar de unos textos nítidos y de preciosos gráficos, te recomendamos que juegues a Clash of Clans en un iPhone 4/4S, iPod Touch de 4ª generación o en cualquier iPad.\n\nEl juego también funciona en dispositivos más antiguos, pero puede que la experiencia de juego no sea óptima.","Per apprezzare la nitidezza del testo e la bellezza della grafica, ti raccomandiamo di giocare Clash of Clans su un iPhone 4/4S, iPod Touch di 4a generazione or qualsiasi iPad.\n\nIl gioco gira anche su apparecchi precedenti, ma l'esperienza di gioco potrebbe non essere ottimale.","Om van scherpte tekst prachtige graphics te genieten, raden we je aan om Clash of Clans te spelen op een iPhone 4/4S, iPod Touch 4e generatie of een iPad.\n\nHet spel loopt ook op oudere apparaten, maar de spelbeleving is dan niet optimaal.","Den skarpeste teksten og den vakreste grafikken får du ved å spille Clash of Clans på en iPhone 4/4S, iPod Touch 4. generasjon eller enhver iPad.\n\nSpillet fungerer også på eldre enheter, men spillopplevelsen er neppe optimal.","Para desfrutar de um texto nítido e belos gráficos, recomendamos jogar Clash of Clans em um iPhone 4/4S, iPod Touch de 4ª geração ou qualquer iPad.\n\nO jogo também funciona em dispositivos mais antigos, mas a experiência de jogo pode não ser a ideal.","Net yazılar ve güzel grafiklerin tadını çıkarman için Clash of Clans'i iPhone 4/4S, 4. jenerasyon iPod Touch veya herhangi bir iPad'de oynamanı öneriyoruz.\n\nOyunu ayrıca daha eski cihazlarda da oynayabilirsin ama oyun deneyimin, daha düşük olabilir."
TID_FAQ_TITLE_CHANGENAME,Can I change my village's name?,Est-il possible de changer le nom de mon village ?,Kann ich den Dorf meines Namens ändern?,¿Puedo cambiar el nombre de mi aldea?,Posso cambiare il nome del mio villaggio?,Kan ik de naam van mijn dorp veranderen?,Kan jeg gi landsbyen min nytt navn?,Posso mudar o nome da minha aldeia?,Köyümün adını değiştirebilir miyim?
TID_FAQ_TEXT_CHANGENAME,"Sorry, you can't change the name of your village. Your villagers wouldn't know where they live!","Désolé, vous ne pouvez pas changer le nom de votre village. Les villageois ne sauraient plus où ils habitent !","Du kannst den Namen deines Dorfs leider nicht ändern. Deine Dorfbewohner wüssten sonst nicht mehr, wo sie wohnen!","Lo sentimos, pero no puedes cambiarle el nombre a tu aldea. ¡Tus aldeanos no sabrían dónde viven!","Spiacenti, non puoi cambiare il nome del tuo villaggio. I suoi abitanti non saprebbero più dove vivono!","Sorry, je kunt de naam van je dorp niet veranderen. Je dorpelingen zouden niet meer weten waar ze wonen!","Beklager, du kan ikke bytte navn på landsbyen. Da ville ikke innbyggerne vite hvor de bor!","Desculpe, você não pode mudar o nome da sua aldeia. Seus moradores não saberiam onde vivem!","Üzgünüz, köylülerin nerede yaşadıklarını şaşırmamaları için köyünün adını değiştiremezsin!"
TID_FAQ_TITLE_DISCONNECTED,I was disconnected and lost trophies. Can you return them to me?,J'ai subi une déconnexion et perdu des trophées. Pouvez-vous me les rendre ?,Ich habe die Verbindung verloren und dabei sind Trophäen verschwunden. Könnt ihr sie mir zurückgeben?,Me he desconectado y he perdido trofeos. ¿Me los podéis devolver?,Sono stato disconnesso e ho perso dei trofei. Potete restituirmeli?,Mijn verbinding werd verbroken en ik ben alle trofeeën kwijt. Kan ik ze terug krijgen?,Jeg ble frakoblet og mistet trofeer. Kan dere finne dem igjen for meg?,Eu estava desconectado e perdi troféus. Vocês podem devolvê-los para mim?,Bağlantım kesildi ve ödüllerimi kaybettim. Ödüllerimi bana geri verebilir misiniz?
TID_FAQ_TEXT_DISCONNECTED,"If you lost trophies due to disconnection, you were either attacked or your own attack was cut short and you lost. Because of the scoring system used in Clash of Clans, we cannot return your trophies under any circumstances. This is because each trophy you lose is actually transferred to another player, and we cannot give you new trophies without unbalancing the ranking system.\n\nTo prevent loss of trophies due to network problems, we recommend that you attack other players only when you have a stable connection (preferably WiFi).",,,,,,,,
TID_FAQ_TITLE_TROPHIES,How does the trophy system work?,Comment fonctionne le système de trophées ?,Wie funktioniert das Trophäen-System?,¿Cómo funciona el sistema de trofeos?,Come funziona il sistema dei trofei?,Hoe werkt het trofeesysteem?,Hvordan virker trofésystemet?,Como funciona o sistema de troféus?,Ödül sistemi nasıl çalışıyor?
TID_FAQ_TEXT_TROPHIES,"When fighting against other players, you will gain or lose trophies depending on the outcome of the battle. You can also lose or gain points when you're attacked, depending on if your defenders win the battle.\n\nThe exact number of points you can gain or lose is calculated based on how likely you are to win the match based both of your and your enemy's trophy points. Winning against the odds will give you more points than winning an easy opponent.","En affrontant d´autres joueurs, vous allez gagner ou perdre des trophées en fonction du résultat du combat. Vous pouvez aussi gagner ou perdre des points lorsque vous subissez une attaque, selon que vos défenseurs réussissent ou non à la repousser.\n\nLe nombre exact de points gagnés ou perdus est calculé à partir de vos chances de victoire, probabilité elle-même basée sur la différence entre le total de points de trophée de votre opposant et le vôtre. Vous remporterez donc plus de points en gagnant contre toute attente qu´en venant à bout d´un adversaire facile.","Beim Kampf gegen andere Spieler erhältst oder verlierst du Trophäen, je nach Kampfausgang. Wenn du angegriffen wirst, kannst du auch Punkte verlieren oder gewinnen, abhängig davon, ob deine Verteidiger den Kampf gewinnen.\n\nDie genaue Punktzahl, die du gewinnst oder verlierst, basiert auf der Wahrscheinlichkeit, mit der du den Kampf gewinnen wirst, je nach Trophäenpunkten von dir und deinem Gegner. Wenn du entgegen der Wahrscheinlichkeit gewinnst, erhältst du mehr Punkte als gegen einen leichten Gegner.","Cuando luches contra otros jugadores, ganarás o perderás trofeos según el resultado de la batalla. También puedes ganar o perder puntos cuando te ataquen, dependiendo de si tus defensores ganan la batalla.\n\nEl número exacto de puntos que ganes o pierdas se calcula en base a tu probabilidad de ganar el combate, que se basa en los puntos de trofeos de tu enemigo y los tuyos. Si ganas contra todo pronóstico obtendrás más puntos que si derrotas a un oponente fácil.","Mentre combatti contro altri giocatori, puoi vincere o perdere dei trofei a seconda del risultato della battaglia. Puoi anche vincere o perdere punti quando vieni attaccato, in base alla vittoria o meno dei tuoi difensori.\n\nL'esatto numero di punti che puoi ottenere o perdere è calcolato in base alle tue probabilità di vincere la battaglia, considerando anche i tuoi punti trofeo e quelli del nemico. Avere delle buone carte ti darà più punti di una vittoria su un avversario facile.","Als je tegen andere spelers vecht, verdien of verlies je trofeeën afhankelijk van de uitkomst van de strijd. Je kunt ook punten verliezen of verdienen wanneer je wordt aangevallen, afhankelijk van of je verdedigers het gevecht winnen.\n\nDe exacte hoeveelheid punten die je kunt verdienen of verliezen is gebaseerd op de waarschijnlijkheid dat je de strijd wint, afhankelijk van de trofeepunten van jou en je vijand. Als je tegen alle waarschijnlijkheid in wint, verdien je meer punten als wanneer je van een eenvoudige tegenstander wint.","Når du kjemper mot andre spillere, kan du vinne eller tape trofeer avhengig av slagets utfall. Du kan også tape eller vinne poeng når du blir angrepet, avhengig av om forsvarerne dine vinner slaget.\n\nDet nøyaktige antallet poeng du kan vinne eller tape er beregnet ut fra sannsynligheten for at du vinner kampen basert på dine og fiendens trofépoeng. Hvis du vinner mot alle odds, får du flere poeng enn om du vinner mot en svak motstander.","Ao lutar contra outros jogadores, você vai ganhar ou perder troféus, dependendo do resultado da batalha. Você também pode perder ou ganhar pontos quando for atacado, se os seus defensores vencerem a batalha.\n\nO número exato de pontos que você pode ganhar ou perder é calculado com base na probabilidade de você ganhar a partida, baseado nos seus pontos de troféus e nos do seu inimigo. Vencer contra todas as probabilidades lhe dará mais pontos do que vencer um adversário fácil.","Diğer oyunculara karşı savaşırken savaşın sonucuna bağlı olarak ödül kazanır veya kaybedersin. Ayrıca saldırıya uğradığında da savunma birliklerinin savaşı kazanıp kazanmadığına bağlı olarak puan kazanır veya kaybedersin.\n\nKazanabileceğin veya kaybedebileceğin puan miktarı, senin ve düşmanının ödül puanına dayalı olarak karşılaşmayı kazanma ihtimaline göre hesaplanır. Dezavantajlı durumdayken kazanman, kolayca yenebileceğin bir düşmana karşı kazandığından daha fazla puan sağlar."
TID_FAQ_TITLE_MATCHMAKING,How does ''Find a match'' work?,Comment fonctionne le système \qChercher une partie\q ?,Wie funktioniert \qMitspieler finden\q?,¿Cómo funciona ''Buscar partida''?,Come funziona il sistema \qTrova una partita\q?,Hoe werkt 'Zoek een wedstrijd'?,Hvordan virker «Finn en match»?,Como funciona o \qEncontrar uma correspondência\q?,Eşleşme bul\q düğmesi nasıl çalışıyor?
TID_FAQ_TEXT_MATCHMAKING,"Player vs. player matchmaking is based solely on the amount of trophies you have. Because of this it is possible to be attacked by a much higher or lower level player, if they have close to the same amount of trophies as you have.",,,,,,,,
TID_FAQ_TITLE_SPELLS,What are Spells and how can I use them?,Que sont les Sorts et comment les utiliser ?,Was sind Zaubersprüche und wie kann ich sie verwenden?,¿Qué son los hechizos y cómo puedo usarlos?,Che cosa sono gli incantesimi e come posso usarli?,Wat zijn spreuken en hoe kan ik ze gebruiken?,Hva er trylleformularer og hvordan kan jeg bruke dem?,O que são Feitiços e como posso usá-los?,Büyüler nedir ve nasıl kullanabilirim?
